HOSTNAME,A,TXT
google.com,142.250.185.174,???
amazon.com,176.32.103.205,???
twitter.com,10.10.34.35,10.10.34.35
discord.com,162.159.135.232,???
samsung.com,???,???
aut.ac.ir,???,???
spotify.com,35.186.224.25,???
